,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
8,Étienne Capoue,fr FRA,MF,34.0,36,23,2248.0,25.0,6.0,2.0,8.0,6.0,0.0,0.0,6.0,0.0,2.7,2.7,1.6,0.12,,,,,,,,32.0,14.0,43.8,0.19,21.7,974.0,1110.0,87.7,15339.0,3736.0,1.3,21.0,10.0,12.0,55.6,26.0,45.0,21.0,1.0,25.0,21.0,54.3,2022-2023,Villarreal,La Liga
9,Raúl Albiol,es ESP,DF,36.0,27,26,2209.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,0.0,0.0,,,,,,,,2.0,1.0,50.0,0.0,25.2,1358.0,1529.0,88.8,29200.0,11231.0,0.5,26.0,14.0,17.0,77.8,15.0,41.0,111.0,0.0,38.0,25.0,60.3,2022-2023,Villarreal,La Liga
10,Nicolas Jackson,sn SEN,FW,21.0,36,19,2048.0,22.8,13.0,5.0,18.0,13.0,0.0,0.0,8.0,1.0,10.6,10.6,3.5,0.5,,,,,,,,55.0,27.0,49.1,0.24,12.9,308.0,408.0,75.5,4273.0,945.0,2.4,15.0,2.0,13.0,20.0,4.0,18.0,4.0,0.0,15.0,35.0,30.0,2022-2023,Villarreal,La Liga
11,José Luis Morales,es ESP,"FW,MF",35.0,40,18,1850.0,20.6,13.0,4.0,17.0,12.0,1.0,2.0,2.0,0.0,9.5,8.8,2.3,0.48,,,,,,,,57.0,28.0,49.1,0.21,14.6,266.0,365.0,72.9,3497.0,670.0,1.5,12.0,7.0,9.0,31.8,5.0,15.0,3.0,0.0,9.0,21.0,30.0,2022-2023,Villarreal,La Liga
12,Alfonso Pedraza,es ESP,DF,26.0,27,20,1667.0,18.5,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,2.0,0.07,,,,,,,,27.0,10.0,37.0,0.0,18.4,641.0,832.0,77.0,9606.0,2553.0,1.3,35.0,19.0,27.0,65.5,18.0,53.0,31.0,0.0,12.0,12.0,50.0,2022-2023,Villarreal,La Liga
13,Gerard Moreno,es ESP,FW,30.0,27,17,1606.0,17.8,10.0,6.0,16.0,8.0,2.0,3.0,4.0,0.0,10.2,8.6,2.8,0.57,,,,,,,,49.0,23.0,46.9,0.16,15.3,394.0,542.0,72.7,6568.0,1711.0,1.5,11.0,3.0,7.0,50.0,5.0,16.0,11.0,0.0,21.0,19.0,52.5,2022-2023,Villarreal,La Liga
14,Alberto Moreno,es ESP,DF,30.0,28,17,1563.0,17.4,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.1,1.1,1.5,0.07,,,,,,,,19.0,5.0,26.3,0.0,20.0,735.0,873.0,84.2,11886.0,3146.0,2.2,27.0,11.0,13.0,42.3,27.0,53.0,29.0,0.0,14.0,10.0,58.3,2022-2023,Villarreal,La Liga
15,Kiko Femenía,es ESP,DF,31.0,26,16,1485.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,0.0,,,,,,,,2.0,0.0,0.0,0.0,23.7,776.0,900.0,86.2,11882.0,3475.0,0.6,20.0,14.0,12.0,73.7,29.0,45.0,27.0,0.0,12.0,6.0,66.7,2022-2023,Villarreal,La Liga
16,Johan Mojica,co COL,DF,29.0,27,14,1451.0,16.1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.6,0.02,,,,,,,,7.0,1.0,14.3,0.0,22.3,659.0,815.0,80.9,10591.0,2792.0,2.0,20.0,11.0,14.0,64.7,7.0,27.0,18.0,1.0,8.0,5.0,61.5,2022-2023,Villarreal,La Liga
17,Jorge Cuenca,es ESP,DF,22.0,21,15,1451.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.8,0.07,,,,,,,,12.0,3.0,25.0,0.0,13.0,835.0,945.0,88.4,15759.0,5517.0,0.7,12.0,5.0,12.0,55.6,18.0,28.0,94.0,1.0,27.0,14.0,65.9,2022-2023,Villarreal,La Liga
18,Giovani Lo Celso,ar ARG,"MF,FW",26.0,27,15,1318.0,14.6,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.6,2.6,3.5,0.18,,,,,,,,34.0,9.0,26.5,0.06,20.0,690.0,837.0,82.4,11836.0,3264.0,3.3,40.0,14.0,32.0,58.3,7.0,47.0,6.0,0.0,3.0,6.0,33.3,2022-2023,Villarreal,La Liga
19,Manu Trigueros,es ESP,MF,30.0,30,14,1295.0,14.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.6,0.6,1.3,0.05,,,,,,,,10.0,3.0,30.0,0.1,22.4,689.0,778.0,88.6,10301.0,2937.0,0.9,25.0,12.0,18.0,41.4,8.0,32.0,4.0,0.0,7.0,13.0,35.0,2022-2023,Villarreal,La Liga
20,Gerónimo Rulli,ar ARG,GK,30.0,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,56.0,46.0,82.1,,7.0,50.0,0.0,0.0,,,,464.0,543.0,85.5,11876.0,7752.0,0.0,0.0,0.0,0.0,,1.0,1.0,6.0,2.0,3.0,0.0,100.0,2022-2023,Villarreal,La Liga
21,Francis Coquelin,fr FRA,MF,31.0,23,15,1202.0,13.4,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.1,1.1,1.1,0.09,,,,,,,,11.0,2.0,18.2,0.27,15.8,426.0,484.0,88.0,6330.0,1329.0,1.4,25.0,10.0,19.0,100.0,15.0,39.0,10.0,0.0,9.0,4.0,69.2,2022-2023,Villarreal,La Liga
22,Ramón Terrats,es ESP,MF,21.0,18,12,891.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.1,,,,,,,,16.0,6.0,37.5,0.06,23.9,408.0,484.0,84.3,6335.0,1549.0,1.2,16.0,9.0,11.0,47.4,8.0,24.0,6.0,2.0,6.0,7.0,46.2,2022-2023,Villarreal,La Liga
