,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
5,Lorenzo Pellegrini,it ITA,MF,26.0,32,29,2545.0,28.3,4.0,5.0,9.0,2.0,2.0,3.0,5.0,0.0,8.0,5.7,6.9,0.2,,,,,,,,62.0,17.0,27.4,0.03,21.5,816.0,1114.0,73.2,14299.0,4489.0,6.2,52.0,22.0,29.0,45.8,26.0,78.0,22.0,0.0,12.0,24.0,33.3,2022-2023,Roma,Serie A
6,Nicola Zalewski,pl POL,DF,20.0,33,26,2197.0,24.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,1.2,0.05,,,,,,,,29.0,9.0,31.0,0.07,23.1,933.0,1252.0,74.5,16262.0,5001.0,1.9,45.0,22.0,26.0,31.0,31.0,76.0,23.0,0.0,4.0,16.0,20.0,2022-2023,Roma,Serie A
7,Tammy Abraham,eng ENG,FW,24.0,38,24,2189.0,24.3,8.0,3.0,11.0,8.0,0.0,0.0,2.0,0.0,10.8,10.8,3.6,0.45,,,,,,,,62.0,28.0,45.2,0.13,12.0,342.0,513.0,66.7,4964.0,1248.0,2.8,17.0,3.0,10.0,18.8,3.0,20.0,14.0,0.0,80.0,74.0,51.9,2022-2023,Roma,Serie A
8,Paulo Dybala,ar ARG,"MF,FW",28.0,25,21,1739.0,19.3,12.0,6.0,18.0,7.0,5.0,5.0,5.0,0.0,9.3,5.3,6.9,0.28,,,,,,,,60.0,18.0,30.0,0.12,20.7,650.0,833.0,78.0,11560.0,2954.0,4.5,14.0,8.0,4.0,30.8,8.0,22.0,4.0,0.0,4.0,16.0,20.0,2022-2023,Roma,Serie A
9,Leonardo Spinazzola,it ITA,DF,29.0,26,18,1654.0,18.4,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.06,,,,,,,,10.0,6.0,60.0,0.1,18.7,750.0,989.0,75.8,13111.0,4315.0,2.0,15.0,8.0,8.0,34.8,9.0,24.0,25.0,0.0,9.0,8.0,52.9,2022-2023,Roma,Serie A
10,Nemanja Matić,rs SRB,MF,33.0,35,16,1852.0,20.6,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,2.6,0.05,,,,,,,,11.0,4.0,36.4,0.18,16.3,1109.0,1295.0,85.6,19601.0,6044.0,1.9,47.0,19.0,27.0,57.6,25.0,72.0,21.0,1.0,19.0,14.0,57.6,2022-2023,Roma,Serie A
11,Zeki Çelik,tr TUR,DF,25.0,24,16,1504.0,16.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.3,0.3,1.6,0.02,,,,,,,,5.0,1.0,20.0,0.0,17.6,697.0,927.0,75.2,11222.0,4779.0,1.4,42.0,24.0,21.0,58.5,14.0,56.0,36.0,2.0,11.0,13.0,45.8,2022-2023,Roma,Serie A
12,Stephan El Shaarawy,it ITA,"DF,MF",29.0,29,14,1523.0,16.9,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,5.5,5.5,1.4,0.33,,,,,,,,42.0,19.0,45.2,0.17,19.2,665.0,825.0,80.6,10633.0,2974.0,1.6,21.0,6.0,9.0,27.3,15.0,36.0,11.0,0.0,16.0,18.0,47.1,2022-2023,Roma,Serie A
13,Nicolò Zaniolo,it ITA,"MF,FW",23.0,13,12,890.0,9.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.9,2.9,0.9,0.29,,,,,,,,28.0,7.0,25.0,0.04,17.2,125.0,196.0,63.8,2173.0,488.0,0.6,7.0,2.0,5.0,28.6,2.0,9.0,0.0,0.0,5.0,8.0,38.5,2022-2023,Roma,Serie A
14,Andrea Belotti,it ITA,FW,28.0,31,11,1146.0,12.7,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.5,2.7,1.6,0.21,,,,,,,,19.0,9.0,47.4,0.0,12.7,171.0,258.0,66.3,2169.0,381.0,0.7,12.0,5.0,5.0,45.5,3.0,15.0,5.0,0.0,36.0,61.0,37.1,2022-2023,Roma,Serie A
