,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
27,Arnaud Kalimuendo,fr FRA,FW,20,1,0,7.0,0.1,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,2022-2023,Paris Saint Germain,Ligue 1
28,Sergio Rico,es ESP,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
29,Abdou Diallo,sn SEN,DF,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
30,Lucas Lavallée,fr FRA,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
31,Nehemiah Fernandez,fr FRA,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
32,Ayman Kari,fr FRA,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
33,Hugo Lamy,fr FRA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
34,Serif Nhaga,pt POR,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
35,Mauro Icardi,ar ARG,FW,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
36,Idrissa Gana Gueye,sn SEN,MF,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
0,Kevin Danso,at AUT,DF,23,40,40,3502.0,38.9,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,2.5,2.4,1.0,0.07,,,,,,,,26.0,4.0,15.4,0.04,14.9,2103.0,2336.0,90.0,39503.0,14272.0,1.3,37.0,19.0,20.0,63.3,37.0,70.0,124.0,0.0,82.0,32.0,71.9,2022-2023,Lens,Ligue 1
1,Seko Fofana,ci CIV,MF,27,39,36,3337.0,37.1,9.0,6.0,15.0,8.0,1.0,2.0,2.0,0.0,9.3,7.7,3.6,0.22,,,,,,,,90.0,24.0,26.7,0.09,19.9,1590.0,1820.0,87.4,25744.0,5048.0,3.3,28.0,15.0,15.0,38.5,19.0,47.0,14.0,0.0,22.0,15.0,59.5,2022-2023,Lens,Ligue 1
