,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
14,Jean Onana,cm CMR,"MF,DF",22.0,21,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.4,0.04,,,,,,,,8.0,3.0,37.5,0.0,23.1,412.0,478.0,86.2,6872.0,1606.0,0.3,28.0,10.0,17.0,45.5,18.0,46.0,20.0,0.0,9.0,7.0,56.3,2022-2023,Lens,Ligue 1
15,Wesley Saïd,fr FRA,"FW,MF",27.0,21,6,644.0,7.2,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,3.3,3.3,0.9,0.46,,,,,,,,27.0,10.0,37.0,0.19,14.5,155.0,195.0,79.5,2247.0,565.0,0.8,4.0,2.0,1.0,33.3,1.0,5.0,2.0,0.0,5.0,7.0,41.7,2022-2023,Lens,Ligue 1
16,Alexis Claude-Maurice,fr FRA,"MF,FW",24.0,20,5,604.0,6.7,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,2.6,2.6,1.3,0.39,,,,,,,,14.0,9.0,64.3,0.36,16.6,201.0,240.0,83.8,2708.0,541.0,0.9,14.0,6.0,9.0,37.5,2.0,16.0,1.0,0.0,4.0,2.0,66.7,2022-2023,Lens,Ligue 1
17,Jimmy Cabot,fr FRA,"DF,MF",28.0,11,5,511.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.1,0.05,,,,,,,,5.0,1.0,20.0,0.0,17.0,261.0,346.0,75.4,4629.0,1527.0,2.0,20.0,12.0,12.0,46.2,4.0,24.0,12.0,0.0,3.0,3.0,50.0,2022-2023,Lens,Ligue 1
18,Łukasz Poręba,pl POL,MF,22.0,10,3,260.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,0.2,,,,,,,,3.0,0.0,0.0,0.0,17.1,116.0,143.0,81.1,1866.0,539.0,0.4,5.0,2.0,4.0,66.7,4.0,9.0,2.0,0.0,3.0,1.0,75.0,2022-2023,Lens,Ligue 1
19,Julien Le Cardinal,fr FRA,DF,24.0,8,2,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.31,,,,,,,,5.0,2.0,40.0,0.0,9.6,90.0,121.0,74.4,1556.0,466.0,0.4,6.0,4.0,4.0,66.7,2.0,8.0,5.0,0.0,9.0,7.0,56.3,2022-2023,Lens,Ligue 1
20,Jean-Louis Leca,fr FRA,GK,36.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,75.0,,0.0,0.0,0.0,0.0,,,,32.0,39.0,82.1,953.0,690.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,100.0,2022-2023,Lens,Ligue 1
21,Rémy Labeau Lascary,gp GLP,"FW,MF",19.0,10,0,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.28,,,,,,,,3.0,1.0,33.3,0.0,15.9,23.0,29.0,79.3,383.0,126.0,0.0,4.0,0.0,2.0,,1.0,5.0,0.0,0.0,3.0,3.0,50.0,2022-2023,Lens,Ligue 1
22,Adam Buksa,pl POL,"FW,MF",26.0,8,0,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,15.0,24.0,62.5,245.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,16.7,2022-2023,Lens,Ligue 1
23,Ismaëlben Boura,km COM,"DF,FW",21.0,9,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.06,,,,,,,,2.0,1.0,50.0,0.0,28.6,47.0,64.0,73.4,670.0,236.0,0.5,6.0,5.0,4.0,83.3,2.0,8.0,3.0,0.0,1.0,2.0,33.3,2022-2023,Lens,Ligue 1
