,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
25,Ayman Azhil,ma MAR,MF,21.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Bayer Leverkusen,Bundesliga
26,Noah Mbamba,be BEL,MF,17.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Bayer Leverkusen,Bundesliga
27,Ayman Aourir,de GER,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Bayer Leverkusen,Bundesliga
28,Leon Köhl,de GER,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Bayer Leverkusen,Bundesliga
29,Niklas Lomb,de GER,GK,29.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Bayer Leverkusen,Bundesliga
30,Madi Monamay,be BEL,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Bayer Leverkusen,Bundesliga
31,Patrick Pentz,at AUT,GK,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Bayer Leverkusen,Bundesliga
32,Zidan Sertdemir,dk DEN,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Bayer Leverkusen,Bundesliga
0,Kevin Trapp,de GER,GK,32.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,51.0,130.0,80.0,62.3,0.0,6.0,18.2,0.0,0.0,,,,616.0,888.0,69.4,15447.0,10068.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,4.0,0.0,100.0,2022-2023,Eintracht Frankfurt,Bundesliga
1,Mario Götze,de GER,MF,30.0,32,32,2740.0,30.4,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,3.2,3.2,5.3,0.11,,,,,,,,26.0,7.0,26.9,0.12,16.4,1130.0,1527.0,74.0,16936.0,4802.0,6.7,42.0,14.0,25.0,29.8,13.0,55.0,12.0,0.0,2.0,19.0,9.5,2022-2023,Eintracht Frankfurt,Bundesliga
2,Randal Kolo Muani,fr FRA,FW,23.0,32,31,2631.0,29.2,15.0,11.0,26.0,13.0,2.0,2.0,6.0,1.0,13.2,11.6,6.5,0.4,,,,,,,,75.0,30.0,40.0,0.17,13.0,419.0,649.0,64.6,5454.0,1212.0,5.8,14.0,1.0,10.0,11.1,3.0,17.0,13.0,0.0,60.0,79.0,43.2,2022-2023,Eintracht Frankfurt,Bundesliga
3,Tuta,br BRA,DF,23.0,31,30,2718.0,30.2,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,2.3,2.3,0.8,0.08,,,,,,,,17.0,3.0,17.6,0.12,17.0,1486.0,1855.0,80.1,28536.0,10513.0,0.9,53.0,33.0,35.0,57.9,49.0,102.0,134.0,2.0,51.0,61.0,45.5,2022-2023,Eintracht Frankfurt,Bundesliga
4,Obite N'Dicka,ci CIV,DF,22.0,30,30,2692.0,29.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,0.2,0.05,,,,,,,,17.0,3.0,17.6,0.06,12.7,1563.0,1815.0,86.1,26918.0,10983.0,0.3,25.0,18.0,18.0,56.3,31.0,56.0,150.0,0.0,77.0,48.0,61.6,2022-2023,Eintracht Frankfurt,Bundesliga
5,Djibril Sow,ch SUI,MF,25.0,32,30,2646.0,29.4,4.0,0.0,4.0,4.0,0.0,0.0,9.0,0.0,1.7,1.7,1.0,0.06,,,,,,,,28.0,10.0,35.7,0.14,24.8,1324.0,1557.0,85.0,22905.0,6804.0,1.3,41.0,22.0,25.0,50.0,28.0,69.0,23.0,0.0,24.0,28.0,46.2,2022-2023,Eintracht Frankfurt,Bundesliga
6,Daichi Kamada,jp JPN,MF,25.0,32,25,2265.0,25.2,9.0,6.0,15.0,6.0,3.0,3.0,3.0,0.0,9.9,7.5,3.4,0.3,,,,,,,,41.0,11.0,26.8,0.15,16.6,1005.0,1245.0,80.7,16631.0,4782.0,3.5,51.0,31.0,31.0,54.4,16.0,67.0,17.0,1.0,18.0,34.0,34.6,2022-2023,Eintracht Frankfurt,Bundesliga
