,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,GA,SoTA,Saves,Save%,Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,TotDist,PrgDist,xA,Tkl,Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
23,Leandro Paredes,ar ARG,MF,28.0,3,0,52.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,6.0,0.0,0.0,1.73,1.73,0.0,1.73,0.0,0.72,0.72,0.0,0.72,Matches,,,,,,,,0.0,0.0,,,,68.0,36.0,25.0,4.0,70.0,38.0,25.0,4.0,97.1,94.7,100.0,100.0,1060.0,325.0,0.4,1.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
24,Ilyes Housni,fr FRA,FW,17.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,0.0,0.0,,,,3.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,100.0,100.0,100.0,,37.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
25,Alexandre Letellier,fr FRA,GK,31.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,4.0,2.0,2.0,0.0,4.0,2.0,2.0,0.0,100.0,100.0,100.0,,68.0,43.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
26,Abdou Diallo,sn SEN,DF,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
27,Nehemiah Fernandez,fr FRA,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
28,Arnaud Kalimuendo,fr FRA,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
29,Ayman Kari,fr FRA,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
30,Hugo Lamy,fr FRA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
31,Lucas Lavallée,fr FRA,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
32,Keylor Navas,cr CRC,GK,35.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
33,Serif Nhaga,pt POR,DF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
34,Sergio Rico,es ESP,GK,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
35,Squad Total,,,26.9,38,418,3420.0,38.0,86.0,62.0,148.0,81.0,5.0,7.0,57.0,5.0,78.2,72.6,56.8,129.3,810.0,2029.0,2015.0,2.26,1.63,3.89,2.13,3.76,2.06,1.49,3.55,1.91,3.4,,40.0,160.0,120.0,76.3,33.3,13.0,34.2,562.0,242.0,43.1,0.14,16.2,23694.0,12058.0,8984.0,1551.0,26476.0,13038.0,9684.0,2115.0,89.5,92.5,92.8,73.3,370887.0,117063.0,67.8,612.0,339.0,362.0,48.9,296.0,908.0,432.0,20.0,245.0,201.0,54.9,2022-2023,Paris Saint Germain,Ligue 1
36,Opponent Total,,,26.1,38,418,3420.0,38.0,39.0,27.0,66.0,37.0,2.0,5.0,50.0,4.0,48.3,44.3,34.7,79.0,698.0,1316.0,1306.0,1.03,0.71,1.74,0.97,1.68,1.27,0.91,2.18,1.17,2.08,,89.0,249.0,161.0,66.3,28.6,4.0,10.5,442.0,157.0,35.5,0.08,18.0,14354.0,6671.0,5773.0,1352.0,17091.0,7410.0,6493.0,2215.0,84.0,90.0,88.9,61.0,244568.0,86215.0,31.4,815.0,423.0,486.0,48.2,437.0,1252.0,536.0,8.0,201.0,245.0,45.1,2022-2023,Paris Saint Germain,Ligue 1
0,Brice Samba,fr FRA,GK,28.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,28.0,125.0,98.0,80.0,0.0,15.0,40.5,0.0,0.0,,,,938.0,208.0,395.0,320.0,1237.0,209.0,402.0,607.0,75.8,99.5,98.3,52.7,25038.0,16717.0,0.0,1.0,1.0,0.0,50.0,0.0,1.0,12.0,2.0,8.0,2.0,80.0,2022-2023,Lens,Ligue 1
1,Kevin Danso,at AUT,DF,23.0,37,37,3232.0,35.9,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,2.5,2.4,1.0,3.5,34.0,163.0,2.0,0.03,0.06,0.08,0.03,0.08,0.07,0.03,0.1,0.07,0.1,Matches,,,,,,,,24.0,4.0,16.7,0.04,14.9,2103.0,709.0,1184.0,187.0,2336.0,769.0,1267.0,257.0,90.0,92.2,93.4,72.8,39503.0,14272.0,1.3,37.0,19.0,19.0,63.3,33.0,70.0,124.0,0.0,82.0,32.0,71.9,2022-2023,Lens,Ligue 1
2,Seko Fofana,ci CIV,MF,27.0,35,34,3073.0,34.1,7.0,5.0,12.0,6.0,1.0,2.0,2.0,0.0,9.3,7.7,3.6,11.3,117.0,165.0,233.0,0.21,0.15,0.35,0.18,0.32,0.27,0.11,0.38,0.22,0.33,Matches,,,,,,,,82.0,22.0,26.8,0.07,19.9,1590.0,806.0,604.0,120.0,1820.0,880.0,674.0,157.0,87.4,91.6,89.6,76.4,25744.0,5048.0,3.3,28.0,15.0,13.0,38.5,19.0,47.0,14.0,0.0,22.0,15.0,59.5,2022-2023,Lens,Ligue 1
