,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,GA,SoTA,Saves,Save%,Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,TotDist,PrgDist,xA,Tkl,Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
20,Pablo Sarabia,es ESP,MF,30,19,6,634.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,1.4,2.8,10.0,18.0,41.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.55,0.28,0.55,Matches,,,,,,,,13.0,4.0,30.8,0.0,13.0,164.0,88.0,54.0,7.0,213.0,102.0,65.0,18.0,77.0,86.3,83.1,38.9,2342.0,686.0,1.2,6.0,2.0,5.0,25.0,2.0,8.0,0.0,0.0,1.0,2.0,33.3,2022-2023,Paris Saint Germain,Ligue 1
21,Timothee Pembele,fr FRA,DF,19,6,5,320.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,4.0,5.0,20.0,0.0,0.28,0.28,0.0,0.28,0.05,0.11,0.17,0.05,0.17,Matches,,,,,,,,3.0,1.0,33.3,0.0,16.3,71.0,44.0,20.0,2.0,89.0,49.0,24.0,5.0,79.8,89.8,83.3,40.0,939.0,189.0,0.4,5.0,2.0,5.0,50.0,4.0,9.0,2.0,0.0,3.0,3.0,50.0,2022-2023,Paris Saint Germain,Ligue 1
22,Keylor Navas,cr CRC,GK,35,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,1.0,2.0,1.0,50.0,,1.0,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,2022-2023,Paris Saint Germain,Ligue 1
23,Ismaël Gharbi,es ESP,MF,18,8,1,147.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,3.0,1.0,8.0,0.0,0.61,0.61,0.0,0.61,0.32,0.0,0.32,0.32,0.32,Matches,,,,,,,,4.0,2.0,50.0,0.0,21.3,32.0,23.0,5.0,0.0,36.0,26.0,5.0,1.0,88.9,88.5,100.0,0.0,320.0,45.0,0.1,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
24,Leandro Paredes,ar ARG,MF,28,4,0,65.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,6.0,0.0,0.0,1.73,1.73,0.0,1.73,0.0,0.72,0.72,0.0,0.72,Matches,,,,,,,,0.0,0.0,,,,68.0,36.0,25.0,4.0,70.0,38.0,25.0,4.0,97.1,94.7,100.0,100.0,1060.0,325.0,0.4,1.0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
25,Ilyes Housni,fr FRA,FW,17,2,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,1.0,1.0,100.0,0.0,,3.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,100.0,100.0,100.0,,37.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
26,Alexandre Letellier,fr FRA,GK,31,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,4.0,2.0,2.0,0.0,4.0,2.0,2.0,0.0,100.0,100.0,100.0,,68.0,43.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
27,Arnaud Kalimuendo,fr FRA,FW,20,1,0,7.0,0.1,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,Matches,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,2022-2023,Paris Saint Germain,Ligue 1
28,Sergio Rico,es ESP,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
29,Abdou Diallo,sn SEN,DF,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
